time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-04-27 09:30:00-04:00,MyStrategy,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MyStrategy,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,172.0,0.0
2020-05-13 09:30:00-04:00,MyStrategy,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 09:30:00-04:00,MyStrategy,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,172.0,0.0
2020-05-18 09:30:00-04:00,MyStrategy,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-05-18 09:30:00-04:00,MyStrategy,SPY,buy,market,fill,1,gtc,0.0,1,stock,294.3500061035156,166.0,0.0
2020-06-25 09:30:00-04:00,MyStrategy,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MyStrategy,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,79.0,0.0
2020-07-16 09:30:00-04:00,MyStrategy,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-07-16 09:30:00-04:00,MyStrategy,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.8800048828125,38.0,0.0
2020-08-05 09:30:00-04:00,MyStrategy,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MyStrategy,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4800109863281,18.0,0.0
2020-09-01 09:30:00-04:00,MyStrategy,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-01 09:30:00-04:00,MyStrategy,SPY,sell,limit,fill,1,day,0.0,1,stock,354.6700134277344,166.0,0.0
2020-10-26 09:30:00-04:00,MyStrategy,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-10-26 09:30:00-04:00,MyStrategy,SPY,buy,market,fill,1,gtc,0.0,1,stock,339.760009765625,96.0,0.0
2020-10-29 09:30:00-04:00,MyStrategy,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-10-29 09:30:00-04:00,MyStrategy,SPY,sell,stop,fill,1,day,0.0,1,stock,322.7720092773437,96.0,0.0
2020-12-01 09:30:00-05:00,MyStrategy,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-12-01 09:30:00-05:00,MyStrategy,SPY,sell,limit,fill,1,day,0.0,1,stock,367.3920043945312,79.0,0.0
2020-12-03 09:30:00-05:00,MyStrategy,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-12-03 09:30:00-05:00,MyStrategy,SPY,buy,market,fill,1,gtc,0.0,1,stock,366.67999267578125,126.0,0.0
2021-02-05 09:30:00-05:00,MyStrategy,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-02-05 09:30:00-05:00,MyStrategy,SPY,sell,limit,fill,1,day,0.0,1,stock,388.20001220703125,38.0,0.0
2021-03-15 08:30:00-04:00,MyStrategy,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-03-15 08:30:00-04:00,MyStrategy,SPY,sell,limit,fill,1,day,0.0,1,stock,397.77601318359376,18.0,0.0
2021-07-22 09:30:00-04:00,MyStrategy,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-22 09:30:00-04:00,MyStrategy,SPY,sell,limit,fill,1,day,0.0,1,stock,440.0159912109375,126.0,0.0
2021-10-08 09:30:00-04:00,MyStrategy,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-10-08 09:30:00-04:00,MyStrategy,SPY,buy,market,fill,1,gtc,0.0,1,stock,439.4800109863281,141.0,0.0
2021-12-09 09:30:00-05:00,MyStrategy,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-12-09 09:30:00-05:00,MyStrategy,SPY,buy,market,fill,1,gtc,0.0,1,stock,468.1499938964844,66.0,0.0
2022-01-20 09:30:00-05:00,MyStrategy,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-01-20 09:30:00-05:00,MyStrategy,SPY,sell,stop,fill,1,day,0.0,1,stock,444.7424942016601,66.0,0.0
2022-02-24 09:30:00-05:00,MyStrategy,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-02-24 09:30:00-05:00,MyStrategy,SPY,sell,stop,fill,1,day,0.0,1,stock,411.0199890136719,141.0,0.0
2022-07-08 09:30:00-04:00,MyStrategy,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MyStrategy,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.2699890136719,153.0,0.0
2022-09-08 09:30:00-04:00,MyStrategy,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MyStrategy,SPY,buy,market,fill,1,gtc,0.0,1,stock,402.739990234375,74.0,0.0
2022-09-12 09:30:00-04:00,MyStrategy,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-12 09:30:00-04:00,MyStrategy,SPY,buy,market,fill,1,gtc,0.0,1,stock,401.8299865722656,37.0,0.0
2022-09-15 09:30:00-04:00,MyStrategy,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-15 09:30:00-04:00,MyStrategy,SPY,sell,stop,fill,1,day,0.0,1,stock,382.6029907226562,74.0,0.0
2022-09-19 08:30:00-04:00,MyStrategy,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-19 08:30:00-04:00,MyStrategy,SPY,sell,stop,fill,1,day,0.0,1,stock,381.73848724365234,37.0,0.0
2022-09-22 09:30:00-04:00,MyStrategy,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-22 09:30:00-04:00,MyStrategy,SPY,sell,stop,fill,1,day,0.0,1,stock,367.90648956298827,153.0,0.0
2023-03-20 09:30:00-04:00,MyStrategy,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-20 09:30:00-04:00,MyStrategy,SPY,buy,market,fill,1,gtc,0.0,1,stock,397.239990234375,143.0,0.0
